"utterance","item","speaker_belief","prob"
"know-dances-?","Grace_L","doesnt_dance",0.173967986938685
"know-dances-?","Isabella_H","dances",0.94528479573052
"know-dances-?","Isabella_H","doesnt_dance",0.0547152042694802
"know-dances-?","Isabella_L","dances",0.664788090947182
"know-dances-?","Isabella_L","doesnt_dance",0.335211909052818
"know-dances-?","Jackson_H","dances",0.984271197201471
"know-dances-?","Jackson_H","doesnt_dance",0.0157288027985293
"know-dances-?","Jackson_L","dances",0.762966113229158
"know-dances-?","Jackson_L","doesnt_dance",0.237033886770842
"know-dances-?","Jayden_H","dances",0.974580333302939
"know-dances-?","Jayden_H","doesnt_dance",0.0254196666970608
"know-dances-?","Jayden_L","dances",0.749292936279904
"know-dances-?","Jayden_L","doesnt_dance",0.250707063720095
"know-dances-?","Jon_H","dances",0.982376756736518
"know-dances-?","Jon_H","doesnt_dance",0.0176232432634819
"know-dances-?","Jon_L","dances",0.81567201141318
"know-dances-?","Jon_L","doesnt_dance",0.18432798858682
"know-dances-?","Josh_H","dances",0.951159244659377
"know-dances-?","Josh_H","doesnt_dance",0.0488407553406231
"know-dances-?","Josh_L","dances",0.816756387431097
"know-dances-?","Josh_L","doesnt_dance",0.183243612568903
"know-dances-?","Josie_H","dances",0.979986478395254
"know-dances-?","Josie_H","doesnt_dance",0.0200135216047463
"know-dances-?","Josie_L","dances",0.646058640287398
"know-dances-?","Josie_L","doesnt_dance",0.353941359712603
"know-dances-?","Julian_H","dances",0.961524042956879
"know-dances-?","Julian_H","doesnt_dance",0.0384759570431213
"know-dances-?","Julian_L","dances",0.911435865576563
"know-dances-?","Julian_L","doesnt_dance",0.0885641344234373
"know-dances-?","Mary_H","dances",0.987925413294864
"know-dances-?","Mary_H","doesnt_dance",0.0120745867051359
"know-dances-?","Mary_L","dances",0.806178506483441
"know-dances-?","Mary_L","doesnt_dance",0.193821493516559
"know-dances-?","Olivia_H","dances",0.971537065831452
"know-dances-?","Olivia_H","doesnt_dance",0.0284629341685482
"know-dances-?","Olivia_L","dances",0.791321647587512
"know-dances-?","Olivia_L","doesnt_dance",0.208678352412488
"know-dances-?","Owen_H","dances",0.98139276423128
"know-dances-?","Owen_H","doesnt_dance",0.0186072357687197
"know-dances-?","Owen_L","dances",0.849866775586633
"know-dances-?","Owen_L","doesnt_dance",0.150133224413367
"know-dances-?","Tony_H","dances",0.981476803623088
"know-dances-?","Tony_H","doesnt_dance",0.0185231963769117
"know-dances-?","Tony_L","dances",0.800536056287277
"know-dances-?","Tony_L","doesnt_dance",0.199463943712724
"know-dances-?","Zoe_H","dances",0.98133869120203
"know-dances-?","Zoe_H","doesnt_dance",0.0186613087979702
"know-dances-?","Zoe_L","dances",0.770479862944477
"know-dances-?","Zoe_L","doesnt_dance",0.229520137055522
"know-doesnt_dance-?","Charley_H","dances",0.339694464060829
"know-doesnt_dance-?","Charley_H","doesnt_dance",0.66030553593917
"know-doesnt_dance-?","Charley_L","dances",0.0377105045244148
"know-doesnt_dance-?","Charley_L","doesnt_dance",0.962289495475585
"know-doesnt_dance-?","Danny_H","dances",0.217323515267643
"know-doesnt_dance-?","Danny_H","doesnt_dance",0.782676484732358
"know-doesnt_dance-?","Danny_L","dances",0.0382802341156209
"know-doesnt_dance-?","Danny_L","doesnt_dance",0.961719765884379
"know-doesnt_dance-?","Emily_H","dances",0.128449391704092
"know-doesnt_dance-?","Emily_H","doesnt_dance",0.871550608295907
"know-doesnt_dance-?","Emily_L","dances",0.0168878574393447
"know-doesnt_dance-?","Emily_L","doesnt_dance",0.983112142560655
"know-doesnt_dance-?","Emma_H","dances",0.20377492448136
"know-doesnt_dance-?","Emma_H","doesnt_dance",0.79622507551864
"know-doesnt_dance-?","Emma_L","dances",0.0474800850703988
"know-doesnt_dance-?","Emma_L","doesnt_dance",0.952519914929601
"know-doesnt_dance-?","Frank_H","dances",0.202940573127627
"know-doesnt_dance-?","Frank_H","doesnt_dance",0.797059426872373
"know-doesnt_dance-?","Frank_L","dances",0.0194323894067808
"know-doesnt_dance-?","Frank_L","doesnt_dance",0.980567610593219
"know-doesnt_dance-?","Grace_H","dances",0.318894340346711
"know-doesnt_dance-?","Grace_H","doesnt_dance",0.681105659653289
"know-doesnt_dance-?","Grace_L","dances",0.0321477979946114
"know-doesnt_dance-?","Grace_L","doesnt_dance",0.967852202005389
"know-doesnt_dance-?","Isabella_H","dances",0.10833891838942
"know-doesnt_dance-?","Isabella_H","doesnt_dance",0.89166108161058
"know-doesnt_dance-?","Isabella_L","dances",0.0134572479156875
