"predicate","belief_content","utterance_type","content","prior","mean_belief_rating","count"
"know","not_p","neg","grace",0.209855072463768,0.965,4
"know","not_p","neg","jackson",0.225034965034965,0.786666666666667,6
"know","not_p","neg","jayden",0.312205882352941,0.575,4
"know","not_p","neg","jon",0.2440625,0.9075,4
"know","not_p","neg","josie",0.26656050955414,0.683333333333333,3
"know","not_p","neg","mary",0.184832214765101,0.713333333333333,3
"know","not_p","neg","owen",0.25351724137931,0.85,4
"know","not_p","neg","tony",0.252720588235294,0.58,4
"know","not_p","neg","zoe",0.254028776978417,0.7625,4
"know","p","pos","charley",0.804632352941177,0.87,3
"know","p","pos","danny",0.697062937062937,0.852,5
"know","p","pos","frank",0.67972027972028,0.83,3
"know","p","pos","grace",0.790144927536232,0.856666666666667,3
"know","p","pos","jackson",0.774965034965035,0.952,5
"know","p","pos","jayden",0.687794117647059,0.825714285714286,7
"know","p","pos","jon",0.7559375,0.794,5
"know","p","pos","josie",0.73343949044586,0.758,5
"know","p","pos","mary",0.815167785234899,0.816666666666667,3
"know","p","pos","owen",0.74648275862069,1,1
"know","p","pos","tony",0.747279411764706,0.92,5
"know","p","pos","zoe",0.745971223021583,0.8375,4
"know","p","neg","charley",0.195367647058823,0.293333333333333,3
"know","p","neg","danny",0.302937062937063,0.36,5
"know","p","neg","frank",0.32027972027972,0.168,5
"know","p","neg","grace",0.209855072463768,0.035,4
"know","p","neg","jackson",0.225034965034965,0.213333333333333,6
"know","p","neg","jayden",0.312205882352941,0.425,4
"know","p","neg","jon",0.2440625,0.0925,4
"know","p","neg","josie",0.26656050955414,0.316666666666667,3
"know","p","neg","mary",0.184832214765101,0.286666666666667,3
"know","p","neg","owen",0.25351724137931,0.15,4
"know","p","neg","tony",0.252720588235294,0.42,4
"know","p","neg","zoe",0.254028776978417,0.2375,4
"say","not_p","pos","charley",0.804632352941177,0.466666666666667,6
"say","not_p","pos","danny",0.697062937062937,0.458,5
"say","not_p","pos","frank",0.67972027972028,0.25,1
"say","not_p","pos","grace",0.790144927536232,0.462,5
"say","not_p","pos","jackson",0.774965034965035,0.34,3
"say","not_p","pos","jayden",0.687794117647059,0.3725,4
