"predicate","utterance_type","mean_certainty_rating"
"simple","polar",0.433367346938775
"think","pos",0.618979591836735
"think","neg",0.706530612244898
"know","pos",0.811836734693878
"know","neg",0.789387755102041
"say","pos",0.455510204081633
"say","neg",0.543061224489796
"confirm","pos",0.535102040816327
"confirm","neg",0.462448979591837
"inform","pos",0.81530612244898
"inform","neg",0.733469387755102
