"speaker_belief","utterance","prob"
10,"BARE-dances-?",0.0458103745595344
10,"think-doesnt_dance-?",0.18354045043539
10,"think-dances-?",0.00387683849128948
10,"know-doesnt_dance-?",0.0267320379971473
10,"know-dances-?",0.740040298516639
1,"BARE-dances-?",0.0511358229253049
1,"think-doesnt_dance-?",0.0959850433872109
1,"think-dances-?",0.0811942893341005
1,"know-doesnt_dance-?",0.770672529332239
1,"know-dances-?",0.00101231502114486
2,"BARE-dances-?",0.618565570438744
2,"think-doesnt_dance-?",0.0706269314801145
2,"think-dances-?",0.134377660098739
2,"know-doesnt_dance-?",0.171466478115767
2,"know-dances-?",0.00496335986663532
7,"BARE-dances-?",0.808402846187393
7,"think-doesnt_dance-?",0.136033215424659
7,"think-dances-?",0.0225753932682544
7,"know-doesnt_dance-?",0.00466783336426048
7,"know-dances-?",0.0283207117554336
4,"BARE-dances-?",0.802459769166692
4,"think-doesnt_dance-?",0.0884459616189404
4,"think-dances-?",0.05937885615
4,"know-doesnt_dance-?",0.0402761954583002
4,"know-dances-?",0.00943921760606711
9,"BARE-dances-?",0.606717852303198
9,"think-doesnt_dance-?",0.183517934880491
9,"think-dances-?",0.017759579179904
9,"know-doesnt_dance-?",0.0167468327073639
9,"know-dances-?",0.175257800929043
8,"BARE-dances-?",0.690441107520861
8,"think-doesnt_dance-?",0.171780830182433
8,"think-dances-?",0.0261030624915417
8,"know-doesnt_dance-?",0.0141604416718939
8,"know-dances-?",0.0975145581332705
5,"BARE-dances-?",0.743778413449764
5,"think-doesnt_dance-?",0.147724283830668
5,"think-dances-?",0.076597799195761
5,"know-doesnt_dance-?",0.0150765630970407
5,"know-dances-?",0.0168229404267659
6,"BARE-dances-?",0.765461897417625
6,"think-doesnt_dance-?",0.104914238706372
6,"think-dances-?",0.0863394090160929
6,"know-doesnt_dance-?",0.0162481098025811
6,"know-dances-?",0.0270363450573298
3,"BARE-dances-?",0.675032584801235
3,"think-doesnt_dance-?",0.106037334814694
3,"think-dances-?",0.118764665769018
3,"know-doesnt_dance-?",0.0901419265929325
3,"know-dances-?",0.0100234880221212
