"speaker_belief","utterance","prob"
10,"BARE-dances-?",0.0284987954147011
10,"think-doesnt_dance-?",0.261781209672506
10,"think-dances-?",0.00685115205224622
10,"know-doesnt_dance-?",0.02380952844395
10,"know-dances-?",0.679059314416597
1,"BARE-dances-?",0.0390664205456483
1,"think-doesnt_dance-?",0.0963546811312289
1,"think-dances-?",0.110784486266973
1,"know-doesnt_dance-?",0.748231457012875
1,"know-dances-?",0.00556295504327485
2,"BARE-dances-?",0.59234550010504
2,"think-doesnt_dance-?",0.119735183342724
2,"think-dances-?",0.128652806374176
2,"know-doesnt_dance-?",0.151298692694113
2,"know-dances-?",0.00796781748394625
7,"BARE-dances-?",0.75335198730736
7,"think-doesnt_dance-?",0.186312317242122
7,"think-dances-?",0.0329950919317125
7,"know-doesnt_dance-?",0.00228945505447449
7,"know-dances-?",0.0250511484643317
4,"BARE-dances-?",0.769667704699416
4,"think-doesnt_dance-?",0.10995219195072
4,"think-dances-?",0.0788138408655752
4,"know-doesnt_dance-?",0.031533823270467
4,"know-dances-?",0.0100324392138218
9,"BARE-dances-?",0.440401023547733
9,"think-doesnt_dance-?",0.376260260625742
9,"think-dances-?",0.0158115325764594
9,"know-doesnt_dance-?",0.0133309224059972
9,"know-dances-?",0.154196260844068
8,"BARE-dances-?",0.557101170425811
8,"think-doesnt_dance-?",0.321563792285058
8,"think-dances-?",0.0289179385988282
8,"know-doesnt_dance-?",0.00760574526767542
8,"know-dances-?",0.0848113534226277
5,"BARE-dances-?",0.728970011457099
5,"think-doesnt_dance-?",0.153465163726966
5,"think-dances-?",0.0848666044659864
5,"know-doesnt_dance-?",0.0161016977194057
5,"know-dances-?",0.0165965226305424
6,"BARE-dances-?",0.695742658503073
6,"think-doesnt_dance-?",0.167901527298745
6,"think-dances-?",0.0973255866307764
6,"know-doesnt_dance-?",0.0176305087017728
6,"know-dances-?",0.0213997188656328
3,"BARE-dances-?",0.643296201287732
3,"think-doesnt_dance-?",0.153753072612129
3,"think-dances-?",0.116505207651588
3,"know-doesnt_dance-?",0.0753507679785379
3,"know-dances-?",0.0110947504700129
