"speaker_belief","utterance","prob"
10,"BARE-dances-?",0.0829805907216097
10,"think-doesnt_dance-?",0.210009620053627
10,"think-dances-?",0.00269300465927788
10,"know-doesnt_dance-?",0.0213574155884147
10,"know-dances-?",0.682959368977071
1,"BARE-dances-?",0.00933338286479479
1,"think-doesnt_dance-?",0.10709608160547
1,"think-dances-?",0.114463257912884
1,"know-doesnt_dance-?",0.765789438327502
1,"know-dances-?",0.0033178392893494
2,"BARE-dances-?",0.591198524424493
2,"think-doesnt_dance-?",0.102977015277825
2,"think-dances-?",0.122002082898721
2,"know-doesnt_dance-?",0.174219697216561
2,"know-dances-?",0.00960268018239998
7,"BARE-dances-?",0.790658000146038
7,"think-doesnt_dance-?",0.154720111848381
7,"think-dances-?",0.0285553248641612
7,"know-doesnt_dance-?",0.00110591296003319
7,"know-dances-?",0.0249606501813863
4,"BARE-dances-?",0.784745238224125
4,"think-doesnt_dance-?",0.0831993517076502
4,"think-dances-?",0.0738438090023592
4,"know-doesnt_dance-?",0.0440499920479552
4,"know-dances-?",0.0141616090179102
9,"BARE-dances-?",0.563947594472409
9,"think-doesnt_dance-?",0.231941320014131
9,"think-dances-?",0.0150710645440493
9,"know-doesnt_dance-?",0.0154545499767754
9,"know-dances-?",0.173585470992636
8,"BARE-dances-?",0.630871492639216
8,"think-doesnt_dance-?",0.200029521551166
8,"think-dances-?",0.0303586809229947
8,"know-doesnt_dance-?",0.00994725993084917
8,"know-dances-?",0.128793044955774
5,"BARE-dances-?",0.749614122023
5,"think-doesnt_dance-?",0.150682699271356
5,"think-dances-?",0.0687171271242671
5,"know-doesnt_dance-?",0.00909764841608
5,"know-dances-?",0.0218884031652967
6,"BARE-dances-?",0.718491942187945
6,"think-doesnt_dance-?",0.161293815833541
6,"think-dances-?",0.0853868554028307
6,"know-doesnt_dance-?",0.0150606999742999
6,"know-dances-?",0.019766686601383
3,"BARE-dances-?",0.724720779134481
3,"think-doesnt_dance-?",0.0874377396382455
3,"think-dances-?",0.114708224248819
3,"know-doesnt_dance-?",0.0610383245708632
3,"know-dances-?",0.0120949324075906
