"predicate","utterance_type","prior_condition_embedded","mean_speaker_rating","speaker_ci_low","speaker_ci_high","mean_ah_rating","ah_ci_low","ah_ci_high","speaker_YMin","speaker_YMax","ah_YMin","ah_YMax"
"inform","neg","high_prob",0.842695652173913,0.0222608695652174,0.0212753623188405,0.77031884057971,0.0268717391304347,0.0275528985507246,0.820434782608696,0.863971014492754,0.743447101449275,0.797871739130435
"inform","neg","low_prob",0.752347826086956,0.0306391304347826,0.0287652173913043,0.694782608695652,0.0281557971014492,0.0277760869565218,0.721708695652174,0.781113043478261,0.666626811594203,0.722558695652174
"inform","pos","high_prob",0.863039513677812,0.0193928571428572,0.0180851063829788,0.793130699088146,0.0231930091185409,0.0246808510638298,0.843646656534954,0.88112462006079,0.769937689969605,0.817811550151976
"inform","pos","low_prob",0.694518072289157,0.0311769578313252,0.0314759036144578,0.666355421686747,0.0291874999999999,0.0298606927710843,0.663341114457831,0.725993975903614,0.637167921686747,0.696216114457831
"know","neg","high_prob",0.858086956521739,0.0240913043478261,0.0214543478260868,0.528811594202899,0.0291927536231884,0.0260362318840579,0.833995652173913,0.879541304347826,0.49961884057971,0.554847826086956
"know","neg","low_prob",0.824550724637681,0.0289615942028986,0.0241550724637681,0.402782608695652,0.0224355072463769,0.0220311594202898,0.795589130434783,0.848705797101449,0.380347101449275,0.424813768115942
"know","pos","high_prob",0.890347826086957,0.0169884057971015,0.0145543478260869,0.489507246376812,0.0245811594202899,0.0214014492753623,0.873359420289855,0.904902173913043,0.464926086956522,0.510908695652174
"know","pos","low_prob",0.769449275362319,0.0293978260869564,0.0293637681159421,0.34295652173913,0.0208123188405797,0.0232789855072464,0.740051449275362,0.798813043478261,0.322144202898551,0.366235507246377
"MC","pos","neutral",0.55368115942029,0.00718188405797093,0.00757620772946865,NA,NA,NA,0.546499275362319,0.561257367149758,NA,NA
"Polar","pos","high_prob",0.624376811594203,0.0193362318840579,0.0208420289855072,NA,NA,NA,0.605040579710145,0.64521884057971,NA,NA
"Polar","pos","low_prob",0.360086956521739,0.0226681159420289,0.0229608695652174,NA,NA,NA,0.33741884057971,0.383047826086957,NA,NA
"say","neg","high_prob",0.615942028985507,0.0268159420289854,0.0288166666666667,0.71272463768116,0.0240884057971016,0.0238282608695651,0.589126086956522,0.644758695652174,0.688636231884058,0.736552898550725
"say","neg","low_prob",0.459768115942029,0.0247608695652174,0.0241768115942029,0.634289855072464,0.0247543478260869,0.0254500000000001,0.435007246376812,0.483944927536232,0.609535507246377,0.659739855072464
"say","pos","high_prob",0.579159420289855,0.0213456521739132,0.0208528985507246,0.703478260869565,0.0197695652173913,0.0203217391304348,0.557813768115942,0.60001231884058,0.683708695652174,0.7238
"say","pos","low_prob",0.342579710144928,0.0238572463768116,0.0247333333333333,0.542724637681159,0.0285971014492754,0.0291898550724637,0.318722463768116,0.367313043478261,0.514127536231884,0.571914492753623
"think","neg","high_prob",0.520521739130435,0.035195652173913,0.0334920289855073,0.634492753623188,0.0280014492753622,0.0244666666666667,0.485326086956522,0.554013768115942,0.606491304347826,0.658959420289855
"think","neg","low_prob",0.35136231884058,0.027931884057971,0.0278362318840579,0.551565217391304,0.0259471014492754,0.0250195652173912,0.323430434782609,0.379198550724638,0.525618115942029,0.576584782608696
"think","pos","high_prob",0.481971014492754,0.0277420289855073,0.0266376811594203,0.630985507246377,0.0199144927536231,0.0197702898550725,0.454228985507246,0.508608695652174,0.611071014492754,0.650755797101449
"think","pos","low_prob",0.230840579710145,0.0225521739130435,0.022327536231884,0.470608695652174,0.0273644927536232,0.029391304347826,0.208288405797101,0.253168115942029,0.443244202898551,0.5
