"utterance","item","ah_belief","prob"
"BARE-dances-?","Charley_H","dances",0.0260391117614905
"BARE-dances-?","Charley_H","doesnt_dance",0.0003146778360002
"BARE-dances-?","Charley_H","null",0.97327303523397
"BARE-dances-?","Charley_H","uncertain",0.000373175168539236
"BARE-dances-?","Charley_L","dances",0.00209661206121993
"BARE-dances-?","Charley_L","doesnt_dance",0.0148078319588793
"BARE-dances-?","Charley_L","null",0.980314505863435
"BARE-dances-?","Charley_L","uncertain",0.00278105011646485
"BARE-dances-?","Danny_H","dances",0.0164666372291727
"BARE-dances-?","Danny_H","doesnt_dance",0.00033335333149036
"BARE-dances-?","Danny_H","null",0.979398017576823
"BARE-dances-?","Danny_H","uncertain",0.0038019918625146
"BARE-dances-?","Danny_L","dances",0.00292339420002205
"BARE-dances-?","Danny_L","doesnt_dance",0.0170522664254042
"BARE-dances-?","Danny_L","null",0.978068676972092
"BARE-dances-?","Danny_L","uncertain",0.00195566240248022
"BARE-dances-?","Emily_H","dances",0.00768052819207091
"BARE-dances-?","Emily_H","doesnt_dance",0.00228790765116541
"BARE-dances-?","Emily_H","null",0.982168225004942
"BARE-dances-?","Emily_H","uncertain",0.00786333915182215
"BARE-dances-?","Emily_L","dances",0.00166392203730469
"BARE-dances-?","Emily_L","doesnt_dance",0.0270146216620897
"BARE-dances-?","Emily_L","null",0.970770438113514
"BARE-dances-?","Emily_L","uncertain",0.000551018187092515
"BARE-dances-?","Emma_H","dances",0.0190952789339966
"BARE-dances-?","Emma_H","doesnt_dance",0.000616261153161334
"BARE-dances-?","Emma_H","null",0.977923933751488
"BARE-dances-?","Emma_H","uncertain",0.00236452616135328
"BARE-dances-?","Emma_L","dances",0.00463070919137836
"BARE-dances-?","Emma_L","doesnt_dance",0.0135556979528098
"BARE-dances-?","Emma_L","null",0.979332461552091
"BARE-dances-?","Emma_L","uncertain",0.00248113130372059
"BARE-dances-?","Frank_H","dances",0.0138553429345259
"BARE-dances-?","Frank_H","doesnt_dance",0.000512296141331354
"BARE-dances-?","Frank_H","null",0.980359427339916
"BARE-dances-?","Frank_H","uncertain",0.0052729335842274
"BARE-dances-?","Frank_L","dances",0.00293312319692412
"BARE-dances-?","Frank_L","doesnt_dance",0.0282447764181608
"BARE-dances-?","Frank_L","null",0.96851570613806
"BARE-dances-?","Frank_L","uncertain",0.000306394246856124
"BARE-dances-?","Grace_H","dances",0.0243518919852361
"BARE-dances-?","Grace_H","doesnt_dance",0.000345080664501509
"BARE-dances-?","Grace_H","null",0.974580215102548
"BARE-dances-?","Grace_H","uncertain",0.000722812247714119
"BARE-dances-?","Grace_L","dances",0.00429140466001897
"BARE-dances-?","Grace_L","doesnt_dance",0.0199769168907498
"BARE-dances-?","Grace_L","null",0.974623809480554
"BARE-dances-?","Grace_L","uncertain",0.00110786896867662
"BARE-dances-?","Isabella_H","dances",0.00409683742724539
"BARE-dances-?","Isabella_H","doesnt_dance",0.00131828960969297
"BARE-dances-?","Isabella_H","null",0.981999371071143
"BARE-dances-?","Isabella_H","uncertain",0.0125855018919189
"BARE-dances-?","Isabella_L","dances",0.00232687753984625
"BARE-dances-?","Isabella_L","doesnt_dance",0.0282152768418987
"BARE-dances-?","Isabella_L","null",0.969091178666912
"BARE-dances-?","Isabella_L","uncertain",0.000366666951343168
"BARE-dances-?","Jackson_H","dances",0.0243578217671243
"BARE-dances-?","Jackson_H","doesnt_dance",0.000582773225577799
"BARE-dances-?","Jackson_H","null",0.974383978869775
"BARE-dances-?","Jackson_H","uncertain",0.000675426137523158
"BARE-dances-?","Jackson_L","dances",0.0023596669196724
"BARE-dances-?","Jackson_L","doesnt_dance",0.0266062400416811
"BARE-dances-?","Jackson_L","null",0.970519478107796
"BARE-dances-?","Jackson_L","uncertain",0.000514614930851472
"BARE-dances-?","Jayden_H","dances",0.0165599559837194
"BARE-dances-?","Jayden_H","doesnt_dance",0.00101554056800365
"BARE-dances-?","Jayden_H","null",0.979086292786223
"BARE-dances-?","Jayden_H","uncertain",0.00333821066205417
"BARE-dances-?","Jayden_L","dances",0.00398121795176526
"BARE-dances-?","Jayden_L","doesnt_dance",0.0238278920194238
"BARE-dances-?","Jayden_L","null",0.971567651467179
"BARE-dances-?","Jayden_L","uncertain",0.000623238561630427
"BARE-dances-?","Jon_H","dances",0.0239701108801121
"BARE-dances-?","Jon_H","doesnt_dance",0.000602942831793265
"BARE-dances-?","Jon_H","null",0.974664177228582
"BARE-dances-?","Jon_H","uncertain",0.000762769059512175
"BARE-dances-?","Jon_L","dances",0.00381816290008026
"BARE-dances-?","Jon_L","doesnt_dance",0.0233629313071086
"BARE-dances-?","Jon_L","null",0.972119785651852
"BARE-dances-?","Jon_L","uncertain",0.000699120140958408
"BARE-dances-?","Josh_H","dances",0.00912229666545929
"BARE-dances-?","Josh_H","doesnt_dance",0.00224307704405577
"BARE-dances-?","Josh_H","null",0.981764071589123
"BARE-dances-?","Josh_H","uncertain",0.00687055470136283
"BARE-dances-?","Josh_L","dances",0.00280095397466935
"BARE-dances-?","Josh_L","doesnt_dance",0.019218653855464
"BARE-dances-?","Josh_L","null",0.97647004177343
"BARE-dances-?","Josh_L","uncertain",0.00151035039643628
"BARE-dances-?","Josie_H","dances",0.0200830456363458
"BARE-dances-?","Josie_H","doesnt_dance",0.000453134310134623
"BARE-dances-?","Josie_H","null",0.977434918668864
"BARE-dances-?","Josie_H","uncertain",0.00202890138465538
"BARE-dances-?","Josie_L","dances",0.00213694213607654
"BARE-dances-?","Josie_L","doesnt_dance",0.0258801934038854
"BARE-dances-?","Josie_L","null",0.971365432616544
"BARE-dances-?","Josie_L","uncertain",0.000617431843494452
"BARE-dances-?","Julian_H","dances",0.0106217526222066
"BARE-dances-?","Julian_H","doesnt_dance",0.000976368317146049
"BARE-dances-?","Julian_H","null",0.98124700404941
"BARE-dances-?","Julian_H","uncertain",0.00715487501123726
"BARE-dances-?","Julian_L","dances",0.00216854398227595
"BARE-dances-?","Julian_L","doesnt_dance",0.00844306684527068
"BARE-dances-?","Julian_L","null",0.983721151628648
"BARE-dances-?","Julian_L","uncertain",0.00566723754380587
"BARE-dances-?","Mary_H","dances",0.0259336108393047
"BARE-dances-?","Mary_H","doesnt_dance",0.000943909215395619
"BARE-dances-?","Mary_H","null",0.972816038238245
"BARE-dances-?","Mary_H","uncertain",0.000306441707054386
"BARE-dances-?","Mary_L","dances",0.00282611618731196
"BARE-dances-?","Mary_L","doesnt_dance",0.0238162778685851
"BARE-dances-?","Mary_L","null",0.97258298412735
"BARE-dances-?","Mary_L","uncertain",0.00077462181675406
"BARE-dances-?","Olivia_H","dances",0.0221341186729559
"BARE-dances-?","Olivia_H","doesnt_dance",0.00152239117427041
"BARE-dances-?","Olivia_H","null",0.975314299473485
"BARE-dances-?","Olivia_H","uncertain",0.00102919067928862
"BARE-dances-?","Olivia_L","dances",0.00352518194653799
"BARE-dances-?","Olivia_L","doesnt_dance",0.0231859668193088
"BARE-dances-?","Olivia_L","null",0.972528647362383
"BARE-dances-?","Olivia_L","uncertain",0.00076020387177126
"BARE-dances-?","Owen_H","dances",0.0224534554091198
"BARE-dances-?","Owen_H","doesnt_dance",0.000538694934986725
"BARE-dances-?","Owen_H","null",0.97582187528884
"BARE-dances-?","Owen_H","uncertain",0.00118597436705328
"BARE-dances-?","Owen_L","dances",0.00481253250969335
"BARE-dances-?","Owen_L","doesnt_dance",0.0186296492012113
"BARE-dances-?","Owen_L","null",0.975310158830512
"BARE-dances-?","Owen_L","uncertain",0.0012476594585827
"BARE-dances-?","Tony_H","dances",0.0212612896302049
"BARE-dances-?","Tony_H","doesnt_dance",0.000337281793941263
"BARE-dances-?","Tony_H","null",0.976769070508049
"BARE-dances-?","Tony_H","uncertain",0.00163235806780576
"BARE-dances-?","Tony_L","dances",0.00326262778895081
