"utterance","item","ah_belief","prob"
"BARE-dances-?","Charley_H","dances",0.0443466275786276
"BARE-dances-?","Charley_H","doesnt_dance",0.000226931248229299
"BARE-dances-?","Charley_H","null",0.954783734359833
"BARE-dances-?","Charley_H","uncertain",0.000642706813309437
"BARE-dances-?","Charley_L","dances",0.00268995863561669
"BARE-dances-?","Charley_L","doesnt_dance",0.014591678157642
"BARE-dances-?","Charley_L","null",0.975359855787192
"BARE-dances-?","Charley_L","uncertain",0.00735850741955029
"BARE-dances-?","Danny_H","dances",0.0210938661537258
"BARE-dances-?","Danny_H","doesnt_dance",0.000325892307504376
"BARE-dances-?","Danny_H","null",0.971239889258305
"BARE-dances-?","Danny_H","uncertain",0.00734035228046477
"BARE-dances-?","Danny_L","dances",0.00395861292115232
"BARE-dances-?","Danny_L","doesnt_dance",0.0159978445585711
"BARE-dances-?","Danny_L","null",0.974540762210297
"BARE-dances-?","Danny_L","uncertain",0.00550278030998042
"BARE-dances-?","Emily_H","dances",0.00752695939486675
"BARE-dances-?","Emily_H","doesnt_dance",0.00287940787953233
"BARE-dances-?","Emily_H","null",0.97363703599297
"BARE-dances-?","Emily_H","uncertain",0.0159565967326307
"BARE-dances-?","Emily_L","dances",0.00249525211344838
"BARE-dances-?","Emily_L","doesnt_dance",0.023215152667461
"BARE-dances-?","Emily_L","null",0.972282922057752
"BARE-dances-?","Emily_L","uncertain",0.00200667316133859
"BARE-dances-?","Emma_H","dances",0.0270182148878184
"BARE-dances-?","Emma_H","doesnt_dance",0.00054525512359807
"BARE-dances-?","Emma_H","null",0.967893752485891
"BARE-dances-?","Emma_H","uncertain",0.00454277750269324
"BARE-dances-?","Emma_L","dances",0.00609848478145704
"BARE-dances-?","Emma_L","doesnt_dance",0.0130653591455254
"BARE-dances-?","Emma_L","null",0.97434843142005
"BARE-dances-?","Emma_L","uncertain",0.00648772465296584
"BARE-dances-?","Frank_H","dances",0.0161140520040372
"BARE-dances-?","Frank_H","doesnt_dance",0.000549858690265905
"BARE-dances-?","Frank_H","null",0.973051052181765
"BARE-dances-?","Frank_H","uncertain",0.0102850371239318
"BARE-dances-?","Frank_L","dances",0.00452570363912097
"BARE-dances-?","Frank_L","doesnt_dance",0.0237553993333107
"BARE-dances-?","Frank_L","null",0.970527758508722
"BARE-dances-?","Frank_L","uncertain",0.00119113851884624
"BARE-dances-?","Grace_H","dances",0.0397992835277129
"BARE-dances-?","Grace_H","doesnt_dance",0.000260895099981629
"BARE-dances-?","Grace_H","null",0.958642471930931
"BARE-dances-?","Grace_H","uncertain",0.00129734944137485
"BARE-dances-?","Grace_L","dances",0.00619272330510602
"BARE-dances-?","Grace_L","doesnt_dance",0.0177233072071077
"BARE-dances-?","Grace_L","null",0.972662866630231
"BARE-dances-?","Grace_L","uncertain",0.00342110285755542
"BARE-dances-?","Isabella_H","dances",0.00299975629351616
"BARE-dances-?","Isabella_H","doesnt_dance",0.00209255923534757
"BARE-dances-?","Isabella_H","null",0.970096580473807
"BARE-dances-?","Isabella_H","uncertain",0.0248111039973296
"BARE-dances-?","Isabella_L","dances",0.00356065505378304
"BARE-dances-?","Isabella_L","doesnt_dance",0.0238794487960069
"BARE-dances-?","Isabella_L","null",0.971154643722242
"BARE-dances-?","Isabella_L","uncertain",0.00140525242796805
"BARE-dances-?","Jackson_H","dances",0.0399600069606443
"BARE-dances-?","Jackson_H","doesnt_dance",0.000439151929441116
"BARE-dances-?","Jackson_H","null",0.958379347698738
"BARE-dances-?","Jackson_H","uncertain",0.00122149341117599
"BARE-dances-?","Jackson_L","dances",0.00355825720954915
"BARE-dances-?","Jackson_L","doesnt_dance",0.0227670932649456
"BARE-dances-?","Jackson_L","null",0.971799398488376
"BARE-dances-?","Jackson_L","uncertain",0.00187525103712842
"BARE-dances-?","Jayden_H","dances",0.0217956321702852
"BARE-dances-?","Jayden_H","doesnt_dance",0.000968490084073002
"BARE-dances-?","Jayden_H","null",0.970682107665675
"BARE-dances-?","Jayden_H","uncertain",0.00655377007996787
"BARE-dances-?","Jayden_L","dances",0.0059732208027342
"BARE-dances-?","Jayden_L","doesnt_dance",0.0204667190188815
"BARE-dances-?","Jayden_L","null",0.971413723102643
"BARE-dances-?","Jayden_L","uncertain",0.00214633707574217
"BARE-dances-?","Jon_H","dances",0.0389516962303866
"BARE-dances-?","Jon_H","doesnt_dance",0.000459286180266391
"BARE-dances-?","Jon_H","null",0.959198871662867
"BARE-dances-?","Jon_H","uncertain",0.00139014592648036
"BARE-dances-?","Jon_L","dances",0.00568718573548461
"BARE-dances-?","Jon_L","doesnt_dance",0.0201848295131981
"BARE-dances-?","Jon_L","null",0.971760861501908
"BARE-dances-?","Jon_L","uncertain",0.00236712324941052
"BARE-dances-?","Josh_H","dances",0.00950253202520342
"BARE-dances-?","Josh_H","doesnt_dance",0.00267517775820714
"BARE-dances-?","Josh_H","null",0.973868115794479
"BARE-dances-?","Josh_H","uncertain",0.0139541744221105
"BARE-dances-?","Josh_L","dances",0.00390674166477175
"BARE-dances-?","Josh_L","doesnt_dance",0.0175541932638303
"BARE-dances-?","Josh_L","null",0.974051290781616
"BARE-dances-?","Josh_L","uncertain",0.00448777428978099
"BARE-dances-?","Josie_H","dances",0.0291860042625383
"BARE-dances-?","Josie_H","doesnt_dance",0.000389629973011739
"BARE-dances-?","Josie_H","null",0.966569586440058
"BARE-dances-?","Josie_H","uncertain",0.00385477932439244
"BARE-dances-?","Josie_L","dances",0.00318957948022374
"BARE-dances-?","Josie_L","doesnt_dance",0.0223223908006131
"BARE-dances-?","Josie_L","null",0.972296584657073
"BARE-dances-?","Josie_L","uncertain",0.00219144506209079
"BARE-dances-?","Julian_H","dances",0.0109542256030085
"BARE-dances-?","Julian_H","doesnt_dance",0.00117066699768944
"BARE-dances-?","Julian_H","null",0.973748595892063
"BARE-dances-?","Julian_H","uncertain",0.0141265115072401
"BARE-dances-?","Julian_L","dances",0.0023639247063579
"BARE-dances-?","Julian_L","doesnt_dance",0.00969283785111875
"BARE-dances-?","Julian_L","null",0.974943747778037
"BARE-dances-?","Julian_L","uncertain",0.0129994896644858
"BARE-dances-?","Mary_H","dances",0.044411390958788
