item,content,prior_type,state,n,prop
Frank_L,Frank got a cat,factL,2,86,0.202352941
Frank_L,Frank got a cat,factL,3,34,0.08
Frank_L,Frank got a cat,factL,4,11,0.025882353
Frank_L,Frank got a cat,factL,5,9,0.021176471
Frank_L,Frank got a cat,factL,6,3,0.007058824
Frank_L,Frank got a cat,factL,7,3,0.007058824
Frank_L,Frank got a cat,factL,8,6,0.014117647
Frank_L,Frank got a cat,factL,9,7,0.016470588
Frank_L,Frank got a cat,factL,10,4,0.009411765
Grace_H,Grace visited her sister,factH,1,0,0
Grace_H,Grace visited her sister,factH,2,2,0.004395604
Grace_H,Grace visited her sister,factH,3,4,0.008791209
Grace_H,Grace visited her sister,factH,4,4,0.008791209
Grace_H,Grace visited her sister,factH,5,8,0.017582418
Grace_H,Grace visited her sister,factH,6,32,0.07032967
Grace_H,Grace visited her sister,factH,7,50,0.10989011
Grace_H,Grace visited her sister,factH,8,93,0.204395604
Grace_H,Grace visited her sister,factH,9,110,0.241758242
Grace_H,Grace visited her sister,factH,10,152,0.334065934
Grace_L,Grace visited her sister,factL,1,117,0.284671533
Grace_L,Grace visited her sister,factL,2,100,0.243309002
Grace_L,Grace visited her sister,factL,3,85,0.206812652
Grace_L,Grace visited her sister,factL,4,39,0.094890511
Grace_L,Grace visited her sister,factL,5,24,0.058394161
Grace_L,Grace visited her sister,factL,6,11,0.02676399
Grace_L,Grace visited her sister,factL,7,17,0.04136253
Grace_L,Grace visited her sister,factL,8,11,0.02676399
Grace_L,Grace visited her sister,factL,9,4,0.00973236
Grace_L,Grace visited her sister,factL,10,3,0.00729927
Isabella_H,Isabella ate a steak on Sunday,factH,1,5,0.011415525
Isabella_H,Isabella ate a steak on Sunday,factH,2,21,0.047945205
Isabella_H,Isabella ate a steak on Sunday,factH,3,23,0.052511416
Isabella_H,Isabella ate a steak on Sunday,factH,4,30,0.068493151
Isabella_H,Isabella ate a steak on Sunday,factH,5,105,0.239726027
Isabella_H,Isabella ate a steak on Sunday,factH,6,169,0.385844749
Isabella_H,Isabella ate a steak on Sunday,factH,7,38,0.086757991
Isabella_H,Isabella ate a steak on Sunday,factH,8,23,0.052511416
Isabella_H,Isabella ate a steak on Sunday,factH,9,16,0.03652968
Isabella_H,Isabella ate a steak on Sunday,factH,10,8,0.01826484
Isabella_L,Isabella ate a steak on Sunday,factL,1,326,0.761682243
Isabella_L,Isabella ate a steak on Sunday,factL,2,44,0.102803738
Isabella_L,Isabella ate a steak on Sunday,factL,3,21,0.049065421
Isabella_L,Isabella ate a steak on Sunday,factL,4,7,0.01635514
Isabella_L,Isabella ate a steak on Sunday,factL,5,8,0.018691589
Isabella_L,Isabella ate a steak on Sunday,factL,6,6,0.014018692
Isabella_L,Isabella ate a steak on Sunday,factL,7,5,0.011682243
Isabella_L,Isabella ate a steak on Sunday,factL,8,3,0.007009346
