"predicate","utterance_type","prior_condition_embedded","mean_speaker_rating","speaker_ci_low","speaker_ci_high","mean_ah_rating","ah_ci_low","ah_ci_high","speaker_YMin","speaker_YMax","ah_YMin","ah_YMax"
"inform","neg","low_prob",0.752347826086956,0.0283289855072463,0.030181884057971,0.694782608695652,0.0333942028985507,0.0301173913043478,0.72401884057971,0.782529710144927,0.661388405797102,0.7249
"inform","pos","low_prob",0.694518072289157,0.034707078313253,0.0334683734939759,0.666355421686747,0.0333463855421686,0.032472891566265,0.659810993975904,0.727986445783133,0.633009036144578,0.698828313253012
"know","neg","low_prob",0.824550724637681,0.0283485507246376,0.0249862318840579,0.402782608695652,0.0210253623188406,0.0208717391304348,0.796202173913044,0.849536956521739,0.381757246376812,0.423654347826087
"know","pos","low_prob",0.769449275362319,0.0297391304347825,0.0289601449275363,0.34295652173913,0.023686231884058,0.0230173913043478,0.739710144927536,0.798409420289855,0.319270289855072,0.365973913043478
"Polar","pos","low_prob",0.360086956521739,0.0236036231884058,0.021859420289855,NA,NA,NA,0.336483333333333,0.381946376811594,NA,NA
"say","neg","low_prob",0.459768115942029,0.024968115942029,0.0242760869565217,0.634289855072464,0.0253623188405797,0.0232789855072465,0.4348,0.484044202898551,0.608927536231884,0.65756884057971
"say","pos","low_prob",0.342579710144928,0.0255144927536232,0.0257601449275362,0.542724637681159,0.0282318840579711,0.0274789855072464,0.317065217391304,0.368339855072464,0.514492753623188,0.570203623188406
"think","neg","low_prob",0.35136231884058,0.0284420289855072,0.0294420289855072,0.551565217391304,0.0253449275362319,0.0233934782608697,0.322920289855072,0.380804347826087,0.526220289855073,0.574958695652174
"think","pos","low_prob",0.230840579710145,0.0222898550724638,0.0220021739130435,0.470608695652174,0.0273644927536232,0.0260608695652174,0.208550724637681,0.252842753623188,0.443244202898551,0.496669565217391
