content,prior_type,state,n,prop
Grace visited her sister,factH,7,50,0.10989010989010989
Grace visited her sister,factH,8,93,0.2043956043956044
Grace visited her sister,factH,9,110,0.24175824175824176
Grace visited her sister,factH,10,152,0.33406593406593404
Grace visited her sister,factL,1,117,0.2846715328467153
Grace visited her sister,factL,2,100,0.24330900243309003
Grace visited her sister,factL,3,85,0.20681265206812652
Grace visited her sister,factL,4,39,0.0948905109489051
Grace visited her sister,factL,5,24,0.058394160583941604
Grace visited her sister,factL,6,11,0.0267639902676399
Grace visited her sister,factL,7,17,0.0413625304136253
Grace visited her sister,factL,8,11,0.0267639902676399
Grace visited her sister,factL,9,4,0.009732360097323601
Grace visited her sister,factL,10,3,0.0072992700729927005
Isabella ate a steak on Sunday,factH,1,5,0.01141552511415525
Isabella ate a steak on Sunday,factH,2,21,0.04794520547945205
Isabella ate a steak on Sunday,factH,3,23,0.05251141552511415
Isabella ate a steak on Sunday,factH,4,30,0.0684931506849315
Isabella ate a steak on Sunday,factH,5,105,0.23972602739726026
Isabella ate a steak on Sunday,factH,6,169,0.3858447488584475
Isabella ate a steak on Sunday,factH,7,38,0.0867579908675799
Isabella ate a steak on Sunday,factH,8,23,0.05251141552511415
Isabella ate a steak on Sunday,factH,9,16,0.0365296803652968
Isabella ate a steak on Sunday,factH,10,8,0.0182648401826484
Isabella ate a steak on Sunday,factL,1,326,0.7616822429906542
Isabella ate a steak on Sunday,factL,2,44,0.102803738317757
Isabella ate a steak on Sunday,factL,3,21,0.04906542056074766
Isabella ate a steak on Sunday,factL,4,7,0.016355140186915886
Isabella ate a steak on Sunday,factL,5,8,0.018691588785046728
Isabella ate a steak on Sunday,factL,6,6,0.014018691588785047
Isabella ate a steak on Sunday,factL,7,5,0.011682242990654205
Isabella ate a steak on Sunday,factL,8,3,0.007009345794392523
Isabella ate a steak on Sunday,factL,9,3,0.007009345794392523
Isabella ate a steak on Sunday,factL,10,5,0.011682242990654205
Jackson ran 10 miles,factH,1,2,0.004889975550122249
Jackson ran 10 miles,factH,2,1,0.0024449877750611247
Jackson ran 10 miles,factH,3,3,0.007334963325183374
Jackson ran 10 miles,factH,4,9,0.022004889975550123
Jackson ran 10 miles,factH,5,5,0.012224938875305624
Jackson ran 10 miles,factH,6,29,0.07090464547677261
Jackson ran 10 miles,factH,7,51,0.12469437652811736
Jackson ran 10 miles,factH,8,77,0.1882640586797066
Jackson ran 10 miles,factH,9,98,0.2396088019559902
Jackson ran 10 miles,factH,10,134,0.3276283618581907
Jackson ran 10 miles,factL,1,222,0.48577680525164113
Jackson ran 10 miles,factL,2,110,0.24070021881838075
Jackson ran 10 miles,factL,3,63,0.13785557986870897
Jackson ran 10 miles,factL,4,24,0.0525164113785558
