"utterance","prob","speaker_belief","ah_belief"
"BARE-dances-?",0.000184475298658505,"dances","uncertain"
"think-doesnt_dance-?",0.113212727726903,"dances","uncertain"
"think-dances-?",0.44837337689107,"dances","uncertain"
"know-doesnt_dance-?",0.00231155481889255,"dances","uncertain"
"know-dances-?",0.435917865264475,"dances","uncertain"
"BARE-dances-?",0.000402941540224701,"doesnt_dance","uncertain"
"think-doesnt_dance-?",0.10963872175587,"doesnt_dance","uncertain"
"think-dances-?",0.700948324860666,"doesnt_dance","uncertain"
"know-doesnt_dance-?",0.182018797461368,"doesnt_dance","uncertain"
"know-dances-?",0.00699121438187134,"doesnt_dance","uncertain"
"BARE-dances-?",0.16861116574327,"doesnt_dance","null"
"think-doesnt_dance-?",0.00468770794752782,"doesnt_dance","null"
"think-dances-?",0.823793920702301,"doesnt_dance","null"
"know-doesnt_dance-?",0.00248406829306985,"doesnt_dance","null"
"know-dances-?",0.000423137313831312,"doesnt_dance","null"
"BARE-dances-?",0.435461047778597,"dances","null"
"think-doesnt_dance-?",0.0066460594443355,"dances","null"
"think-dances-?",0.55348771648786,"dances","null"
"know-doesnt_dance-?",0.00022544087792687,"dances","null"
"know-dances-?",0.0041797354112813,"dances","null"
"BARE-dances-?",0.00102507181283401,"doesnt_dance","dances"
"think-doesnt_dance-?",0.0645681453714183,"doesnt_dance","dances"
"think-dances-?",0.823549149620153,"doesnt_dance","dances"
"know-doesnt_dance-?",0.107338898013917,"doesnt_dance","dances"
"know-dances-?",0.00351873518167733,"doesnt_dance","dances"
"BARE-dances-?",0.00120083149262833,"dances","dances"
"think-doesnt_dance-?",0.0335696109762575,"dances","dances"
"think-dances-?",0.902668261816342,"dances","dances"
"know-doesnt_dance-?",0.00156336473684875,"dances","dances"
"know-dances-?",0.0609979309779233,"dances","dances"
"BARE-dances-?",0.00027274879963468,"dances","doesnt_dance"
"think-doesnt_dance-?",0.723528642316111,"dances","doesnt_dance"
"think-dances-?",0.0934834784595807,"dances","doesnt_dance"
"know-doesnt_dance-?",0.00760677139634383,"dances","doesnt_dance"
"know-dances-?",0.17510835902833,"dances","doesnt_dance"
"BARE-dances-?",0.00221571253776574,"uncertain","uncertain"
"think-doesnt_dance-?",0.228727220445453,"uncertain","uncertain"
"think-dances-?",0.723091691629891,"uncertain","uncertain"
"know-doesnt_dance-?",0.015396411145042,"uncertain","uncertain"
"know-dances-?",0.0305689642418485,"uncertain","uncertain"
"BARE-dances-?",0.00026196172750911,"doesnt_dance","doesnt_dance"
"think-doesnt_dance-?",0.0454711097478243,"doesnt_dance","doesnt_dance"
"think-dances-?",0.934611667033215,"doesnt_dance","doesnt_dance"
"know-doesnt_dance-?",0.0162278550276278,"doesnt_dance","doesnt_dance"
"know-dances-?",0.00342740646382399,"doesnt_dance","doesnt_dance"
"BARE-dances-?",0.985023599994837,"uncertain","null"
"think-doesnt_dance-?",0.00296445819189266,"uncertain","null"
"think-dances-?",0.00428502801475784,"uncertain","null"
"know-doesnt_dance-?",0.00166469570588822,"uncertain","null"
"know-dances-?",0.00606221809262378,"uncertain","null"
"BARE-dances-?",0.00053872281670553,"uncertain","doesnt_dance"
"think-doesnt_dance-?",0.116699463159099,"uncertain","doesnt_dance"
"think-dances-?",0.874239768503977,"uncertain","doesnt_dance"
"know-doesnt_dance-?",0.00309378569364129,"uncertain","doesnt_dance"
"know-dances-?",0.00542825982657752,"uncertain","doesnt_dance"
"BARE-dances-?",0.000263056362249877,"uncertain","dances"
"think-doesnt_dance-?",0.0337172449435216,"uncertain","dances"
"think-dances-?",0.943922660555015,"uncertain","dances"
"know-doesnt_dance-?",0.000788315143497446,"uncertain","dances"
"know-dances-?",0.0213087229957162,"uncertain","dances"
