"utterance","prob","speaker_belief","ah_belief"
"BARE-dances-?",0.000285622044940489,"dances","uncertain"
"think-doesnt_dance-?",0.105813865054624,"dances","uncertain"
"think-dances-?",0.152003390396513,"dances","uncertain"
"know-doesnt_dance-?",0.00532225238390849,"dances","uncertain"
"know-dances-?",0.736574870120014,"dances","uncertain"
"BARE-dances-?",0.00167137196537475,"doesnt_dance","uncertain"
"think-doesnt_dance-?",0.149994209537569,"doesnt_dance","uncertain"
"think-dances-?",0.604876580987788,"doesnt_dance","uncertain"
"know-doesnt_dance-?",0.238957239523728,"doesnt_dance","uncertain"
"know-dances-?",0.00450059798554075,"doesnt_dance","uncertain"
"BARE-dances-?",0.350113401115445,"doesnt_dance","null"
"think-doesnt_dance-?",0.0168582266481426,"doesnt_dance","null"
"think-dances-?",0.631779150131775,"doesnt_dance","null"
"know-doesnt_dance-?",0.00124922210463772,"doesnt_dance","null"
"BARE-dances-?",0.52142643031043,"dances","null"
"think-doesnt_dance-?",0.00286310970987557,"dances","null"
"think-dances-?",0.466558589446302,"dances","null"
"know-doesnt_dance-?",0.000384364036324419,"dances","null"
"know-dances-?",0.00876750649706824,"dances","null"
"BARE-dances-?",0.00277205695159137,"doesnt_dance","dances"
"think-doesnt_dance-?",0.0829705433469379,"doesnt_dance","dances"
"think-dances-?",0.774169373427983,"doesnt_dance","dances"
"know-doesnt_dance-?",0.133100851525742,"doesnt_dance","dances"
"know-dances-?",0.00698717474774573,"doesnt_dance","dances"
"BARE-dances-?",0.00215367917723335,"dances","dances"
"think-doesnt_dance-?",0.0282659839087455,"dances","dances"
"think-dances-?",0.895739306473075,"dances","dances"
"know-doesnt_dance-?",0.00290483482318867,"dances","dances"
"know-dances-?",0.0709361956177579,"dances","dances"
"BARE-dances-?",0.00196886371810458,"dances","doesnt_dance"
"think-doesnt_dance-?",0.628313181864371,"dances","doesnt_dance"
"think-dances-?",0.063895660420103,"dances","doesnt_dance"
"know-doesnt_dance-?",0.00807815854209234,"dances","doesnt_dance"
"know-dances-?",0.297744135455329,"dances","doesnt_dance"
"BARE-dances-?",0.001547713694014,"uncertain","uncertain"
"think-doesnt_dance-?",0.343630037801663,"uncertain","uncertain"
"think-dances-?",0.597526911850091,"uncertain","uncertain"
"know-doesnt_dance-?",0.0175647862965617,"uncertain","uncertain"
"know-dances-?",0.0397305503576706,"uncertain","uncertain"
"BARE-dances-?",0.000858520276422897,"doesnt_dance","doesnt_dance"
"think-doesnt_dance-?",0.485513527932058,"doesnt_dance","doesnt_dance"
"think-dances-?",0.497002367275719,"doesnt_dance","doesnt_dance"
"know-doesnt_dance-?",0.0144157906552613,"doesnt_dance","doesnt_dance"
"know-dances-?",0.00220979386053866,"doesnt_dance","doesnt_dance"
"BARE-dances-?",0.982340454231836,"uncertain","null"
"think-doesnt_dance-?",0.00052373828875852,"uncertain","null"
"think-dances-?",0.0130558228018432,"uncertain","null"
"know-doesnt_dance-?",0.00238626566654823,"uncertain","null"
"know-dances-?",0.00169371901101362,"uncertain","null"
"BARE-dances-?",0.000904632720789554,"uncertain","doesnt_dance"
"think-doesnt_dance-?",0.540783660444445,"uncertain","doesnt_dance"
"think-dances-?",0.44978753038567,"uncertain","doesnt_dance"
"know-doesnt_dance-?",0.00292416121411425,"uncertain","doesnt_dance"
"know-dances-?",0.00560001523498117,"uncertain","doesnt_dance"
"BARE-dances-?",0.00113697041791647,"uncertain","dances"
"think-doesnt_dance-?",0.0245229285832482,"uncertain","dances"
"think-dances-?",0.939562521755638,"uncertain","dances"
"know-doesnt_dance-?",0.00182460312258162,"uncertain","dances"
"know-dances-?",0.0329529761206154,"uncertain","dances"
