"utterance","prob","speaker_belief","ah_belief"
"BARE-dances-?",0.00321788016208645,"dances","uncertain"
"think-doesnt_dance-?",0.101546581720015,"dances","uncertain"
"think-dances-?",0.440970977878693,"dances","uncertain"
"know-doesnt_dance-?",0.00522711527576433,"dances","uncertain"
"know-dances-?",0.449037444963442,"dances","uncertain"
"BARE-dances-?",0.000613773955486438,"doesnt_dance","uncertain"
"think-doesnt_dance-?",0.0988022120710875,"doesnt_dance","uncertain"
"think-dances-?",0.606894344035762,"doesnt_dance","uncertain"
"know-doesnt_dance-?",0.280464551814563,"doesnt_dance","uncertain"
"know-dances-?",0.0132251181231014,"doesnt_dance","uncertain"
"BARE-dances-?",0.18971954393683,"doesnt_dance","null"
"think-doesnt_dance-?",0.00811321552972149,"doesnt_dance","null"
"think-dances-?",0.798159728078264,"doesnt_dance","null"
"know-doesnt_dance-?",0.00111664849212839,"doesnt_dance","null"
"know-dances-?",0.00289086396305557,"doesnt_dance","null"
"BARE-dances-?",0.567723255722025,"dances","null"
"think-doesnt_dance-?",0.00243469810727443,"dances","null"
"think-dances-?",0.425212142642323,"dances","null"
"know-doesnt_dance-?",0.000227131879644105,"dances","null"
"know-dances-?",0.00440277164873294,"dances","null"
"BARE-dances-?",5.72479939639085e-05,"doesnt_dance","dances"
"think-doesnt_dance-?",0.0666277110932643,"doesnt_dance","dances"
"think-dances-?",0.764761749741929,"doesnt_dance","dances"
"know-doesnt_dance-?",0.163316121704267,"doesnt_dance","dances"
"know-dances-?",0.005237169466576,"doesnt_dance","dances"
"BARE-dances-?",0.000633299952200594,"dances","dances"
"think-doesnt_dance-?",0.0302794731698352,"dances","dances"
"think-dances-?",0.903926627456588,"dances","dances"
"know-doesnt_dance-?",0.00389264395170034,"dances","dances"
"know-dances-?",0.0612679554696756,"dances","dances"
"BARE-dances-?",0.000871741421810252,"dances","doesnt_dance"
"think-doesnt_dance-?",0.629943267768517,"dances","doesnt_dance"
"think-dances-?",0.0739646296637913,"dances","doesnt_dance"
"know-doesnt_dance-?",0.0109517314908172,"dances","doesnt_dance"
"know-dances-?",0.284268629655064,"dances","doesnt_dance"
"BARE-dances-?",0.00152397634406754,"uncertain","uncertain"
"think-doesnt_dance-?",0.25575862031906,"uncertain","uncertain"
"think-dances-?",0.694057028593056,"uncertain","uncertain"
"know-doesnt_dance-?",0.0198258957618419,"uncertain","uncertain"
"know-dances-?",0.0288344789819747,"uncertain","uncertain"
"BARE-dances-?",0.00116423710973621,"doesnt_dance","doesnt_dance"
"think-doesnt_dance-?",0.0379113968107794,"doesnt_dance","doesnt_dance"
"think-dances-?",0.92773495025592,"doesnt_dance","doesnt_dance"
"know-doesnt_dance-?",0.0300833105202188,"doesnt_dance","doesnt_dance"
"know-dances-?",0.00310610530334577,"doesnt_dance","doesnt_dance"
"BARE-dances-?",0.988854431101942,"uncertain","null"
"think-doesnt_dance-?",0.00177137130232304,"uncertain","null"
"think-dances-?",0.0031279696253825,"uncertain","null"
"know-doesnt_dance-?",0.00432268188116193,"uncertain","null"
"know-dances-?",0.00192354608919027,"uncertain","null"
"BARE-dances-?",0.00083853888531915,"uncertain","doesnt_dance"
"think-doesnt_dance-?",0.525405565641435,"uncertain","doesnt_dance"
"think-dances-?",0.465198827182617,"uncertain","doesnt_dance"
"know-doesnt_dance-?",0.00284783070958159,"uncertain","doesnt_dance"
"know-dances-?",0.0057092375810466,"uncertain","doesnt_dance"
"BARE-dances-?",0.000657273305499213,"uncertain","dances"
"think-doesnt_dance-?",0.013496408700913,"uncertain","dances"
"think-dances-?",0.960115236811212,"uncertain","dances"
"know-doesnt_dance-?",0.00304970682314441,"uncertain","dances"
"know-dances-?",0.0226813743592315,"uncertain","dances"
