"utterance","prob","speaker_belief","ah_belief"
"BARE-dances-?",0.000136609141482917,"dances","uncertain"
"think-doesnt_dance-?",0.157011406253124,"dances","uncertain"
"think-dances-?",0.448313668059423,"dances","uncertain"
"know-doesnt_dance-?",0.00327004940474793,"dances","uncertain"
"know-dances-?",0.391268267141222,"dances","uncertain"
"BARE-dances-?",9.03373232143622e-05,"doesnt_dance","uncertain"
"think-doesnt_dance-?",0.0828261173997321,"doesnt_dance","uncertain"
"think-dances-?",0.73417822788399,"doesnt_dance","uncertain"
"know-doesnt_dance-?",0.178355917213786,"doesnt_dance","uncertain"
"know-dances-?",0.00454940017927758,"doesnt_dance","uncertain"
"BARE-dances-?",0.180837468155558,"doesnt_dance","null"
"think-doesnt_dance-?",0.0172717183411897,"doesnt_dance","null"
"think-dances-?",0.796887721161699,"doesnt_dance","null"
"know-doesnt_dance-?",0.00331059615138017,"doesnt_dance","null"
"know-dances-?",0.00169249619017304,"doesnt_dance","null"
"BARE-dances-?",0.495292983903637,"dances","null"
"think-doesnt_dance-?",0.0052446827368551,"dances","null"
"think-dances-?",0.495405316268619,"dances","null"
"know-doesnt_dance-?",0.00140648046608169,"dances","null"
"know-dances-?",0.00265053662480736,"dances","null"
"BARE-dances-?",0.000695533817475049,"doesnt_dance","dances"
"think-doesnt_dance-?",0.0461175975401342,"doesnt_dance","dances"
"think-dances-?",0.840999164977693,"doesnt_dance","dances"
"know-doesnt_dance-?",0.109225006849896,"doesnt_dance","dances"
"know-dances-?",0.00296269681480112,"doesnt_dance","dances"
"BARE-dances-?",0.000736396102624119,"dances","dances"
"think-doesnt_dance-?",0.0276215058936927,"dances","dances"
"think-dances-?",0.924712834172813,"dances","dances"
"know-doesnt_dance-?",0.0011804709994699,"dances","dances"
"know-dances-?",0.0457487928313996,"dances","dances"
"BARE-dances-?",0.000451799281035052,"dances","doesnt_dance"
"think-doesnt_dance-?",0.688404103801577,"dances","doesnt_dance"
"think-dances-?",0.132842092619807,"dances","doesnt_dance"
"know-doesnt_dance-?",0.00651339324551572,"dances","doesnt_dance"
"know-dances-?",0.171788611052066,"dances","doesnt_dance"
"BARE-dances-?",0.00113915202367907,"uncertain","uncertain"
"think-doesnt_dance-?",0.249463142413029,"uncertain","uncertain"
"think-dances-?",0.708639036666466,"uncertain","uncertain"
"know-doesnt_dance-?",0.0124039533570928,"uncertain","uncertain"
"know-dances-?",0.0283547155397328,"uncertain","uncertain"
"BARE-dances-?",0.000342665370559408,"doesnt_dance","doesnt_dance"
"think-doesnt_dance-?",0.0481694085752417,"doesnt_dance","doesnt_dance"
"think-dances-?",0.933577429324339,"doesnt_dance","doesnt_dance"
"know-doesnt_dance-?",0.0155502243564275,"doesnt_dance","doesnt_dance"
"know-dances-?",0.00236027237343216,"doesnt_dance","doesnt_dance"
"BARE-dances-?",0.973070619775506,"uncertain","null"
"think-doesnt_dance-?",0.00268076903533864,"uncertain","null"
"think-dances-?",0.0159812754112698,"uncertain","null"
"know-doesnt_dance-?",0.00597688904328678,"uncertain","null"
"know-dances-?",0.00229044673459849,"uncertain","null"
"BARE-dances-?",0.000199756655191712,"uncertain","doesnt_dance"
"think-doesnt_dance-?",0.109082408402706,"uncertain","doesnt_dance"
"think-dances-?",0.879441058602293,"uncertain","doesnt_dance"
"know-doesnt_dance-?",0.00552950547225709,"uncertain","doesnt_dance"
"know-dances-?",0.0057472708675519,"uncertain","doesnt_dance"
"BARE-dances-?",0.000838158937023946,"uncertain","dances"
"think-doesnt_dance-?",0.0112809609996114,"uncertain","dances"
"think-dances-?",0.966761429691107,"uncertain","dances"
"know-doesnt_dance-?",0.00250126495959694,"uncertain","dances"
"know-dances-?",0.018618185412661,"uncertain","dances"
